"","long","lat","Species"
"OAK-MOR-001493",-84.39044,42.76807,"Quercus alba"
"OAK-MOR-001495",-90.11654,43.02037,"Quercus macrocarpa"
"OAK-MOR-001497",-88.44251,43.01546,"Quercus macrocarpa"
"OAK-MOR-001500",-88.43741,43.01838,"Quercus macrocarpa"
"OAK-MOR-001501",-89.43194,43.03952,"Quercus macrocarpa"
"OAK-MOR-001503",-89.43954,43.03939,"Quercus macrocarpa"
"OAK-MOR-001505",-89.44229,43.03966,"Quercus macrocarpa"
"OAK-MOR-001507",NA,NA,"Quercus macrocarpa"
"OAK-MOR-001508",NA,NA,"Quercus macrocarpa"
"OAK-MOR-001509",-94.23291,45.53,"Quercus macrocarpa"
"OAK-MOR-001510",-94.23989,45.53088,"Quercus macrocarpa"
"OAK-MOR-001511",-93.18341,44.98602,"Quercus macrocarpa"
"OAK-MOR-001512",-93.19437,44.99094,"Quercus macrocarpa"
"OAK-MOR-001513",-93.23801,44.97771,"Quercus macrocarpa"
"OAK-MOR-001514",-85.12054,41.08874,"Quercus macrocarpa"
"OAK-MOR-001516",-85.11921,41.08937,"Quercus macrocarpa"
"OAK-MOR-001517",-83.47987,40.0436,"Quercus macrocarpa"
"OAK-MOR-001518",-83.47924,40.04521,"Quercus macrocarpa"
"OAK-MOR-001519",-83.47891,40.04436,"Quercus macrocarpa"
"OAK-MOR-001520",-83.09472,40.73036,"Quercus macrocarpa"
"OAK-MOR-001238",-93.60619,42.04211,"Quercus macrocarpa"
"OAK-MOR-001248",-96.42526,36.84504,"Quercus macrocarpa"
"OAK-MOR-001431",-73.34099938,42.01269801,"Quercus muehlenbergii"
"OAK-MOR-001245",-92.76217,37.973,"Quercus muehlenbergii"
"OAK-MOR-001249",-98.35347,35.44809,"Quercus muehlenbergii"
"OAK-MOR-001296",-94.80495,38.97887,"Quercus muehlenbergii"
"OAK-MOR-001324",-84.35846,41.55096,"Quercus muehlenbergii"
"OAK-MOR-001374",NA,NA,"Quercus muehlenbergii"
"OAK-MOR-001382",-98.35412,35.45351,"Quercus muehlenbergii"
"OAK-MOR-001383",-98.35471,35.44085,"Quercus muehlenbergii"
"OAK-MOR-001464",-91.30513,37.15758,"Quercus muehlenbergii"
"OAK-MOR-001472",-95.18853,38.80954,"Quercus muehlenbergii"
"OAK-MOR-001476",-95.19458,38.80832,"Quercus muehlenbergii"
"OAK-MOR-001479",-96.6074,39.10761,"Quercus muehlenbergii"
"OAK-MOR-001445",-73.22044842,44.44644457,"Quercus alba"
"OAK-MOR-001247",-96.4152,36.84914,"Quercus stellata"
"OAK-MOR-001269",-89.4445,37.51492,"Quercus macrocarpa"
"OAK-MOR-001289",-90.55917,38.51146,"Quercus stellata"
"OAK-MOR-001293",-91.08355,38.21813,"Quercus stellata"
"OAK-MOR-001295",-91.09209,38.21786,"Quercus stellata"
"OAK-MOR-001299",-94.80504,38.98014,"Quercus stellata"
"OAK-MOR-001372",-92.76516,37.97793,"Quercus stellata"
"OAK-MOR-001377",-96.4292,36.84354,"Quercus stellata"
"OAK-MOR-001378",-96.41918,36.84541,"Quercus stellata"
"OAK-MOR-001390",-92.3259,34.80348,"Quercus stellata"
"OAK-MOR-001392",-92.32652,34.80427,"Quercus stellata"
"OAK-MOR-001456",-90.57724,38.51456,"Quercus stellata"
"OAK-MOR-001460",-91.08285,38.22665,"Quercus stellata"
"OAK-MOR-001465",-94.80724,38.97864,"Quercus stellata"
"OAK-MOR-001468",-94.80537,38.97934,"Quercus stellata"
"OAK-MOR-001355",-89.80337,43.10661,"Quercus alba"
"OAK-MOR-001319",-88.43513,43.01607,"Quercus macrocarpa"
"OAK-MOR-001356",-89.80593,43.10543,"Quercus macrocarpa"
"OAK-MOR-001302",-95.19265,38.8096,"Quercus stellata"
"OAK-MOR-001343",-90.1181,43.02158,"Quercus alba"
"OAK-MOR-001259",-95.89998,36.21813,"Quercus alba"
"OAK-MOR-001325",-84.35895,41.5522,"Quercus alba"
"OAK-MOR-001326",-87.91426,42.18327,"Quercus alba"
"OAK-MOR-001336",-90.11329,43.01628,"Quercus alba"
"OAK-MOR-001351",-88.06216,41.81672,"Quercus alba"
"OAK-MOR-001353",-88.05048,41.82057,"Quercus alba"
"OAK-MOR-001354",-89.8066,43.10632,"Quercus alba"
"OAK-MOR-001363",-91.79392,40.70627,"Quercus alba"
"OAK-MOR-001366",-93.61026,42.0476,"Quercus alba"
"OAK-MOR-001368",-93.61333,42.04806,"Quercus alba"
"OAK-MOR-001373",-92.76518,37.97792,"Quercus alba"
"OAK-MOR-001425",-85.50973,40.45916,"Quercus alba"
"OAK-MOR-001430",-87.04994,41.65947,"Quercus alba"
"OAK-MOR-001455",-90.57564,38.51339,"Quercus alba"
"OAK-MOR-001470",-94.80572,38.9813,"Quercus alba"
"OAK-MOR-001285",-73.23752764,44.40011746,"Quercus bicolor"
"OAK-MOR-001237",-89.80825,43.10698,"Quercus macrocarpa"
"OAK-MOR-001250",-98.35451,35.44376,"Quercus macrocarpa"
"OAK-MOR-001313",-84.38902,42.76512,"Quercus macrocarpa"
"OAK-MOR-001330",-87.93114,41.82643,"Quercus macrocarpa"
"OAK-MOR-001332",-103.43264,43.7746,"Quercus macrocarpa"
"OAK-MOR-001334",-103.84975,44.46733,"Quercus macrocarpa"
"OAK-MOR-001335",-103.87411,44.4337,"Quercus macrocarpa"
"OAK-MOR-001342",-90.11695,43.02128,"Quercus macrocarpa"
"OAK-MOR-001344",-90.11771,43.02073,"Quercus macrocarpa"
"OAK-MOR-001350",-88.0628,41.81671,"Quercus macrocarpa"
"OAK-MOR-001352",-88.05,41.82069,"Quercus macrocarpa"
"OAK-MOR-001359",-91.72565,41.97362,"Quercus macrocarpa"
"OAK-MOR-001360",-93.6293,42.02917,"Quercus macrocarpa"
"OAK-MOR-001362",-93.63142,42.02883,"Quercus macrocarpa"
"OAK-MOR-001365",-93.61113,42.04561,"Quercus macrocarpa"
"OAK-MOR-001367",-93.61029,42.04785,"Quercus macrocarpa"
"OAK-MOR-001376",-96.42725,36.84435,"Quercus macrocarpa"
"OAK-MOR-001400",-91.64893,43.89142,"Quercus muehlenbergii"
"OAK-MOR-001243",-91.79589,40.70481,"Quercus muehlenbergii"
"OAK-MOR-001370",-92.762,37.97259,"Quercus muehlenbergii"
"OAK-MOR-001244",-92.76217,37.97291,"Quercus stellata"
"OAK-MOR-001252",-92.32674,34.80412,"Quercus stellata"
"OAK-MOR-001369",-92.76205,37.97196,"Quercus stellata"
