INDEX	Specimen CODE	collectionNumber	Alt_Coll_No	LABEL_Species_author	Cleaned_NAMES-USE-THIS	id_modifier	Genus	Species_ept	collectionDate	collectors	Material type	Received by MOR	country	state/province	substate	substateRank	site	habitat	associates	Flower	Fruit	Veg	MatureBuds	DBH-cm	Height-m	plantAttributesOther	elevation	elevationSource	determinationOriginal	subsequentDetermination	detBy	detDate	determinationNotes	sourceInstitution	livingCollectionsNumber	OrigSourceInfo	Original Source- Cultivated	waypoint	latitude.orig	longitude.orig	datum	utm_zone	utm_northing	utm_easting	Altitude	coordinatesSource	photos	Collecting_Extracting notes	Expedition	Project	DNA_location	voucher1	voucher2	voucher3	otherVouchers	MOR_Acc_Num	Voucher_Notes	MOR_Barcode	MorphAcc_Num	Recollect_Date	Recollect_Num	Recollect_Collecters	Sent to Floragenex	RAD Batch.No	RAD sequencing notes	TEMP	Mira used for:	Wild_Arb_GH_Collected	Paper References	latitude_georef	longitude_georef	Georeference_source	country-georef	state_province_georef	County_georef	City_georef	Tip_labels 	Andrews Paper	Voucher Imaged	SPECIES-LINK-TO-TAXONOMY (no vars)	Cronn CP Sequenced	SRA_bioproject_accession	SRA_biosample_accession	SRA_library_ID	SRA_title_correct_LOCALITY_INFO	SRA_filename	SRA_Publication	SRA_SEQUENCES USED IN 	SRA_NOTES	Sequenced on 	Sequencing Summary	Floragenex Lib.No	EXTRACTION LABELING
11	QUE000011	JCB-MX-MI-ZE-11		Quercus rugosa Née	#N/A		Quercus	rugosa	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												Q. rugosa	Q. rugosa	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
12	QUE000012	JCB-MX-MI-ZE-12		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												magnolifolia resinosa group	Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
13	QUE000013	JCB-MX-MI-ZE-13		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												magnolifolia resinosa group	Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
14	QUE000014	JCB-MX-MI-ZE-14		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												magnolifolia resinosa group	Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
15	QUE000015	JCB-MX-MI-ZE-15		Quercus sp. L.	#N/A		Quercus		40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												magnolifolia resinosa group	.				n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus sp. L.													
16	QUE000016	JCB-MX-MI-ZE-16		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												magnolifolia resinosa group	Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
17	QUE000017	JCB-MX-MI-ZE-17		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												magnolifolia resinosa group	Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
18	QUE000018	JCB-MX-MI-ZE-18		Quercus magnoliifolia Née	Quercus magnolifolia		Quercus	magnoliifolia	4/18/2011	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												Q. resinosa?/ magnolifolia resinosa group	Q. magnolifolia	Susana Valencia			n/a	n/a	n/a	F														UMN	UMN	MOR	x	x	175890							OAK-UMN-166	Batch 2		Michoacan, MX		Wild		19.453344	-101.731678	Google Earth estimate to Lago Ziraheun	Mexico	Michoacan			Quercus magnolifolia_>OAK-UMN-166	Quercus magnolifolia | OAK-UMN-166 | MEXICO : Michoacan	http://quercus.lifedesks.org/node/887	Quercus magnoliifolia Née		PRJNA376740	0	OAK-UMN-166	PstI RADseq of Quercus magnolifolia from MEXICO : Michoacan	OAK-UMN-166.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)					
19	QUE000019	JCB-MX-MI-ZE-18.5		Quercus rugosa Née	#N/A		Quercus	rugosa	40652	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - near restaurant Miralago - on road to Sta Clara del Cobre												Q. rugosa	Q. rugosa	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
20	QUE000020	JCB-MX-MI-ZE-19		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40652	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - near restaurant Miralago - on road to Sta Clara del Cobre													Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
