DNA_TUBE_LABELS	SPECIMEN CODE	DNA all used up (tube tossed)	AHeditName	Used in Oaks of Americas study	COLLECTOR NUMBER	SPECIES	Collector Notes/Provin.	EXTRACTION DATE	Qubit tube A	Tube A current status	Qubit Tube B	Tube B current status	Nano lite: TUBE A 	tube A FM nano	Nano TUBE B 	Tissue Mass	A260/A280 tube A	A260/A280 tube B	Elution Volume (µl) tube3 a	Elution Volume B tubes	total ~µg in tube A	total ~µg in tube B	Total µg btwn A+ B	New Conc.	LOCATION_OF_DNA	Collector_Notes	Project	SPECIES.no.authors	Section	DNA extraction sheet
MOR_DM1				NO-  Asian Oaks- Min Deng		Cyclobalanopsis gracilis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis gracilis	Cyclobalanopsis	
MOR_DM10				NO-  Asian Oaks- Min Deng		Cyclobalanopsis fleuryi		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis fleuryi	Cyclobalanopsis	
MOR_DM11				NO-  Asian Oaks- Min Deng		Cyclobalanopsis pachyloma		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis pachyloma	Cyclobalanopsis	
MOR_DM12				NO-  Asian Oaks- Min Deng		Cyclobalanopsis patelliformis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis patelliformis	Cyclobalanopsis	
MOR_DM16				NO-  Asian Oaks- Min Deng		Cyclobalanopsis delavayi		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis delavayi	Cyclobalanopsis	
MOR_DM18				NO-  Asian Oaks- Min Deng		Cyclobalanopsis lamellosa		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis lamellosa	Cyclobalanopsis	
MOR_DM19				NO-  Asian Oaks- Min Deng		Cyclobalanopsis chapensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis chapensis	Cyclobalanopsis	
MOR_DM2				NO-  Asian Oaks- Min Deng		Cyclobalnaopsis kerrii		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalnaopsis kerrii	Cyclobalanopsis	
MOR_DM20				NO-  Asian Oaks- Min Deng		Cyclobalanopsis championii		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis championii	Cyclobalanopsis	
MOR_DM22				NO-  Asian Oaks- Min Deng		Cyclobalanopsis myrasinifolia		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis myrasinifolia	Cyclobalanopsis	
MOR_DM23				NO-  Asian Oaks- Min Deng		Cyclobalanopsis sessilifolia		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis sessilifolia	Cyclobalanopsis	
MOR_DM24				NO-  Asian Oaks- Min Deng		Cyclobalanopsis kouangsiensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis kouangsiensis	Cyclobalanopsis	
MOR_DM28				NO-  Asian Oaks- Min Deng		Cyclobalanopsis chrysocalyx		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis chrysocalyx	Cyclobalanopsis	
MOR_DM3				NO-  Asian Oaks- Min Deng		Cyclobalanopsis rex		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis rex	Cyclobalanopsis	
MOR_DM30				NO-  Asian Oaks- Min Deng		Cyclobalanopsis annulata		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis annulata	Cyclobalanopsis	
MOR_DM31				NO-  Asian Oaks- Min Deng		Cyclobalanopsis sichouensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis sichouensis	Cyclobalanopsis	
MOR_DM34				NO-  Asian Oaks- Min Deng		Quercus senescens		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus senescens	?/Group Ilex	
MOR_DM35				NO-  Asian Oaks- Min Deng		Quercus acrodonta		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus acrodonta	?/Group Ilex	
MOR_DM36				NO-  Asian Oaks- Min Deng		Quercus longispica		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus longispica	Cerris	
MOR_DM37				NO-  Asian Oaks- Min Deng		Quercus varibilis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus variabilis	Cerris	
MOR_DM38				NO-  Asian Oaks- Min Deng		Quercus rehderiana		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus rehderiana	Cerris	
MOR_DM39				NO-  Asian Oaks- Min Deng		Quercus franchetii		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus franchetii	Cerris	
MOR_DM40				NO-  Asian Oaks- Min Deng		Quercus aline		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus aline	?	
MOR_DM41				NO-  Asian Oaks- Min Deng		Quercus yunnanensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus yunnanensis	?	
MOR_DM43				NO-  Asian Oaks- Min Deng		Quercus phillyraeoides		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus phillyraeoides	?/Group Ilex	
MOR_DM45				NO-  Asian Oaks- Min Deng		Lithocarpus pseduoarcea		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Lithocarpus pseduoarcea	lithocarpus	
MOR_DM46				NO-  Asian Oaks- Min Deng		Castanopsis fissa		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Castanopsis fissa	QUERCUS OUTGROUP - Castanopsis	
MOR_DM47				NO-  Asian Oaks- Min Deng		Cyclobalanopsis austrocochinchiensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis austrocochinchiensis	Cyclobalanopsis	
MOR_DM5				NO-  Asian Oaks- Min Deng		Cyclobalanopsis blakei		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis blakei	Cyclobalanopsis	
MOR_DM51				NO-  Asian Oaks- Min Deng		Cyclobalanopsis neglecta		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis neglecta	Cyclobalanopsis	
MOR_DM52				NO-  Asian Oaks- Min Deng		Cyclobalnaopsis bella		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalnaopsis bella	Cyclobalanopsis	
MOR_DM53				NO-  Asian Oaks- Min Deng		Cyclobalanopsis stewardiana		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis stewardiana	Cyclobalanopsis	
MOR_DM54				NO-  Asian Oaks- Min Deng		Cyclobalanopsis acuta		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis acuta	Cyclobalanopsis	
MOR_DM55				NO-  Asian Oaks- Min Deng		Cyclobalanopsis daimingshanica		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis daimingshanica	Cyclobalanopsis	
MOR_DM56				NO-  Asian Oaks- Min Deng		Cyclobalanopsis gilva		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis gilva	Cyclobalanopsis	
MOR_DM57				NO-  Asian Oaks- Min Deng		Quercus engleriana		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus engleriana	?/Group Ilex	
MOR_DM58				NO-  Asian Oaks- Min Deng		Quercus yiwuensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus yiwuensis	?/Group Ilex	
MOR_DM59				NO-  Asian Oaks- Min Deng		Quercus utilis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus utilis	?	
MOR_DM6				NO-  Asian Oaks- Min Deng		Cyclobalanopsis oxyodon		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis oxyodon	Cyclobalanopsis	
MOR_DM60				NO-  Asian Oaks- Min Deng		Cyclobalanopsis phanera		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis phanera	Cyclobalanopsis	
MOR_DM61				NO-  Asian Oaks- Min Deng		Cyclobalanopsis polianei		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis polianei	Cyclobalanopsis	
MOR_DM62				NO-  Asian Oaks- Min Deng		Cyclobalanopsis langbianensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis langbianensis	Cyclobalanopsis	
MOR_DM63				NO-  Asian Oaks- Min Deng		Cyclobalanopsis augustinii		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis augustinii	Cyclobalanopsis	
MOR_DM64				NO-  Asian Oaks- Min Deng		Cyclobalanopsis hui		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis hui	Cyclobalanopsis	
MOR_DM65				NO-  Asian Oaks- Min Deng		Cyclobalanopsis litoralis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis litoralis	Cyclobalanopsis	
MOR_DM66				NO-  Asian Oaks- Min Deng		Quercus spathulata 		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus spathulata 	?/Group Ilex	
MOR_DM68				NO-  Asian Oaks- Min Deng		Quercus monimotricha		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus monimotricha	?/Group Ilex	
MOR_DM69				NO-  Asian Oaks- Min Deng		Quercus pannosa		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Quercus pannosa	?/Group Ilex	
MOR_DM7				NO-  Asian Oaks- Min Deng		Cyclobalanopsis arbutifolia		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis arbutifolia	Cyclobalanopsis	
MOR_DM70				NO-  Asian Oaks- Min Deng		Cyclobalanopsis stenphylla		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis stenphylla	Cyclobalanopsis	
MOR_DM71				NO-  Asian Oaks- Min Deng		Castanea densata		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Castanea densata	QUERCUS OUTGROUP	
MOR_DM72				NO-  Asian Oaks- Min Deng		lithocarpus litseifolius		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	lithocarpus litseifolius	lithocarpus	
MOR_DM73				NO-  Asian Oaks- Min Deng		lithocarpus mairei		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	lithocarpus mairei	lithocarpus	
MOR_DM74				NO-  Asian Oaks- Min Deng		Lithocarpus hancei		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Lithocarpus hancei	lithocarpus	
MOR_DM8				NO-  Asian Oaks- Min Deng		Cyclobalanopsis multinervis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis multinervis	Cyclobalanopsis	
MOR_DM9				NO-  Asian Oaks- Min Deng		Cyclobalanopsis glaucoides		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis glaucoides	Cyclobalanopsis	
OAK-MOR-000001					IL-MOR-MH008	Quercus shumardii var. schneckii 		6/25/2012					8.5		5	31	1.43	1.13	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus shumardii	Lobatae	
OAK-MOR-000002					IL-MOR-MH005	Quercus palustris	collected in Fayette County Kentucky U.S.A.	6/25/2012					3.8		10.4	30	0.92	1.18	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus palustris	Lobatae	
OAK-MOR-000003				 	IL-MOR-MH009	Quercus polycarpa		6/25/2012	14.2				32.2	26.2	12.8	29	1.61	1.56	75	75	0.994	0	0.994	7.1	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus polycarpa	? Quercus?	
OAK-MOR-000004					IL-MOR-MH011	Quercus aliena 		6/25/2012					12.1		22.6	30	1.67	1.32	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus aliena	Quercus	
OAK-MOR-000005					IL-MOR-MH010	Quercus prinoides	collected by: Julian Steyermark, Field Museum of Natural History;  northwestern section in   Missouri U.S.A.	6/25/2012	13				21		14.5	32	1.61	1.44	75	75	0.91	0	0.91	6.5	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus prinoides	Quercus	
OAK-MOR-000006				X	IL-MOR-MH007	Quercus montana Willd.	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast Un;  on Cahas Mt. in Franklin County Virginia U.S.A. (37.141444, -79.995722 )	6/25/2012	14.2				43.3	35.6	14.1	31	1.64	1.53	75	75	0.994	0	0.994	7.1	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus montana	Quercus	
OAK-MOR-000007					IL-MOR-MH110 (=13366v12)	Quercus muehlenbergii	collected by: Peter J. van der Linden, The Morton Arboretum;  8 mi. east of Nebraska City, south of IA 2, on top of east bluff overlooking Missouri River in Waubonsie State Park in Fremont County Iowa U.S.A.	6/25/2012	9.9				11.1		4.4	31	1.59	1.25	75	75	0.693	0	0.693	4.95	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus muehlenbergii	Quercus	
OAK-MOR-000008				X	IL-MOR-MH001	Quercus michauxii Nutt.	collected by: Peter J. van der Linden, The Morton Arboretum;  in picnic ground at Big Oak Tree State Park in Mississippi County Missouri U.S.A.. (36.644722, -89.285)	6/26/2012	6.66				13		6.3	29	1.49	1.29	75	75	0.4662	0	0.4662	3.33	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: L-97/89-72	Phylogeny of the Oaks of the Americas (2012)	Quercus michauxii	Quercus	
OAK-MOR-000009				X	IL-MOR-MH002	Quercus pagoda Raf. 	collected by: Charles C. Deam;   in Posey County Indiana U.S.A	6/26/2012	8.17				15.5		6.6	30	1.52	1.38	75	75	0.5719	0	0.5719	4.085	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: N-103/91-44	Phylogeny of the Oaks of the Americas (2012)	Quercus pagoda	Lobatae	
OAK-MOR-000010				X	IL-MOR-MH012	Quercus marilandica Münchh	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  along I-44 roadside, old Rte 66 in Franklin County Missouri U.S.A.. (38.265389, -91.111361, 922 ft)	6/26/2012	5.29				18.9		5.4	32	1.19	1.17	75	75	0.3703	0	0.3703	2.645	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: J-94/63-87	Phylogeny of the Oaks of the Americas (2012)	Quercus marilandica	Lobatae	
OAK-MOR-000011				X	IL-MOR-MH108 (=SD35)	Quercus macrocarpa Michx.	collected by: B. C. Anten near Carterville in Jasper County Missouri U.S.A.	6/26/2012	4.87				16.2		5.7	30	1.42	1.2	75	75	0.3409	0	0.3409	2.435	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: L-98/69-80	Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000012				X	IL-MOR-MH003	Quercus macrocarpa Michx.	collected by: Edward A. Hedborn, The Morton Arboretum;  near Sauk Lake in Sauk Trail Forest Preserve in Cook County Illinois U.S.A.	6/26/2012	4.95				9.3		5.4	30	1.83	1.31	150	150	0.71775	0	0.71775	2.475	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: P-25/12-66	Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000013				X	IL-MOR-MH004	Quercus palustris MÃ¼nchh.	collected by: Raymond F. Schulenberg, The Morton Arboretum;  from island in the Mississippi River  in Henderson County Illinois U.S.A.	6/26/2012	23.1		0.578		11.5		3.1	29	1.09	1	75	75	1.617	0.04046	1.65746	11.839	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus palustris	Lobatae	
OAK-MOR-000014				X	IL-MOR-MH109 (=13365v12)	Quercus alba L.	collected by: Dan Keiser;  on a farm  in Anoka County Minnesota U.S.A.	6/26/2012	10.7				23.1		7.8	30	1.5	1.35	75	75	0.749	0	0.749	5.35	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: L-102/74-14 	Phylogeny of the Oaks of the Americas (2012)	Quercus alba	Quercus	
OAK-MOR-000015				X	IL-MOR-MH106 (=SD28*)	Quercus mongolica 		6/26/2012	3.7				12.4		4.4	30	1.36	1.2	75	75	0.259	0	0.259	1.85	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus mongolica 	Quercus	
OAK-MOR-000016					IL-MOR-MH006	Quercus marilandica Münchh	collected by: Tom Green, Western Illinois University;  near Oquaka  in Henderson County Illinois U.S.A.	6/26/2012					22.1		6.3	30	1.29	1.24	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: K-102/31-62 	Phylogeny of the Oaks of the Americas (2012)	Quercus marilandica	Lobatae	
OAK-MOR-000017					IL-MOR-MH107 (=CDV4/MORELL-1)	Quercus ellipsoidalis	collected by: Peter J. van der Linden, The Morton Arboretum;  in Bluffton Township  in Winneshiek County Iowa U.S.A.	6/26/2012					9.5		4.7	30	1.35	1.2	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B	The Morton Arboretum LC: L-99/71-53	Phylogeny of the Oaks of the Americas (2012)	Quercus ellipsoidalis	Lobatae	
OAK-MOR-000018	QUE000162			X	AZ-CH-09	Quercus emoryi Torr.		6/26/2012	10.3				16.5		6.6	29	1.34	1.23	75	75	0.721	0	0.721	5.15	MOR freezer; Oak 2012 Box 1A and Box 1B	Chiracauha Mountains Southern portion in Rucker Canyon	Phylogeny of the Oaks of the Americas (2012)	Quercus emoryi	Lobatae	
OAK-MOR-000019	QUE000163			X	AZ-CH-10	Quercus grisea Liebm.		6/26/2012	9.81				21.4		14	29	1.41	1.23	75	75	0.6867	0	0.6867	4.905	MOR freezer; Oak 2012 Box 1A and Box 1B	Chiracauha Mountains Southern portion in Rucker Canyon	Phylogeny of the Oaks of the Americas (2012)	Quercus grisea	Quercus	
OAK-MOR-000020	QUE000161				AZ-CH-08	Quercus grisea Liebm.		6/26/2012	2.86				6.4		14.1	33	1.28	1.21	75	75	0.2002	0	0.2002	1.43	MOR freezer; Oak 2012 Box 1A and Box 1B	Chiracauha Mountains Southern portion in Rucker Canyon	Phylogeny of the Oaks of the Americas (2012)	Quercus grisea	Quercus	
OAK-MOR-000021	QUE000154				AZ-CH-01	Quercus gambelii Nutt.		6/26/2012	2.49				21.7		6.7	30	1.19	1.14	75	75	0.1743	0	0.1743	1.245	MOR freezer; Oak 2012 Box 1A and Box 1B	Chiracauha Mountains Southwestern Research Station	Phylogeny of the Oaks of the Americas (2012)	Quercus gambelii	Quercus	
OAK-MOR-000022	QUE000158				AZ-CH-05	Quercus emoryi Torr.		6/26/2012					7.6		7.2	30	1.13	1.18	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B	Chiracauha Mountains Southwestern Research Station	Phylogeny of the Oaks of the Americas (2012)	Quercus emoryi	Lobatae	
OAK-MOR-000023	QUE000157				AZ-CH-04	Quercus rugosa Née	Arizona	6/26/2012	8.64				10.4		6.6	29	1.41	1.29	75	75	0.6048	0	0.6048	4.32	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus rugosa	Quercus	
OAK-MOR-000024	QUE000156				AZ-CH-03	Quercus hypoleucoides A. Camus	Arizona	6/26/2012	3.43				9.6		7.7	33	1.13	1.15	75	75	0.2401	0	0.2401	1.715	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus hypoleucoides	Lobatae	
OAK-MOR-000025	QUE000160				AZ-CH-07	Quercus toumeyi Sarg.		6/26/2012	22.5		4.92		35.1	26	11.3	32	1.55	1.37	75	75	1.575	0.3444	1.9194	13.71	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus toumeyi	Quercus	
OAK-MOR-000026	QUE000159			Y	AZ-CH-06	Quercus turbinella Greene		6/26/2012	7.39				25.7		10.9	30	1.27	1.27	75	75	0.5173	0	0.5173	3.695	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus turbinella	Quercus	
OAK-MOR-000027	QUE000155				AZ-CH-02	Quercus arizonica Sarg.		6/26/2012					16.9		7.3	32	1.5	1.34	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus arizonica	Quercus	
OAK-MOR-000028				X	CA-MH069	Quercus kelloggii Newb.	CA: Eagle Rock River Access El Dorado National Forest; uphill from Kiber's Flat; of US route 50, by entry way on route to river.; sign in area that said 11N50	6/27/2012	2.57				8.9		6.9	29	1.05	1.07	75	75	0.1799	0	0.1799	1.285	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus kelloggii	Lobatae	
OAK-MOR-000029					"ARAM s.n. ""D"""	Quercus wislizeni A. DC.	CA; 1 mile west of Lake County line in Mendocino City, on route 20, south side of road by driveway.	6/27/2012					15.6		5.7	30	0.99	1.12	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000030				X	CA-MH070	Quercus chrysolepis Liebm.	CA; off US route 50 downhill from Kiber's Flts before mile marker 4617; in area with sign that says 4632. Side of road with pull-off area that contains a small strean.	6/27/2012	4.01				10.6		6	29	1.3	1.21	75	75	0.2807	0	0.2807	2.005	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus chrysolepis	Protobalanus	
OAK-MOR-000031					CA-DAV-MH059	Quercus kelloggii Newb.		6/27/2012					8.6		11.3	28	0.96	0.96	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus kelloggii	Lobatae	
OAK-MOR-000032					CA-DAV-MH061	Quercus turbinella Greene	N. E. of Schnebley View: Coconino County: Arizona: . 6400 ft. D. Cavagnaro 120.	6/27/2012	9.64				23.1		8.7	29	1.21	1.2	75	75	0.6748	0	0.6748	4.82	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus turbinella	Quercus	
OAK-MOR-000033				0	CA-DAV-MH058	Quercus turbinella Greene		6/27/2012	3.11				7.4		5.5	29	1.32	1.17	75	75	0.2177	0	0.2177	1.555	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus turbinella	Quercus	
OAK-MOR-000034				0	CA-MH072	Quercus wislizeni A. DC.	  	6/27/2012	1.6				9		5.8	30	0.96	1.07	75	75	0.112	0	0.112	0.8	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000035					CA-DAV-MH060	Quercus arizonica Sarg.		6/27/2012	9.37				15.2		7.3	30	1.39	1.23	75	75	0.6559	0	0.6559	4.685	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus arizonica	Quercus	
OAK-MOR-000036				Y	"ARAM s.n. ""A"""	Quercus berberidifolia Liebm.	CA, USA. 1 mile west of Lake County line in Mendocino City, on route 20, south side of road by driveway.	6/27/2012	2.39				10.4		5.5	30	1.25	1.15	75	75	0.1673	0	0.1673	1.195	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus berberidifolia	Quercus	
OAK-MOR-000037					CA-DAV-MH062	Quercus wislizeni A. DC.	Unknown. Received as Quercus agrifolia.	6/27/2012					14		4.6	32	0.87	0.98	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000038				X	CA-MH073	Quercus douglasii Hook. & Arn.	CA: off US route 50; east side of green stone route, just off rt 50 to north	6/27/2012	4.66				42.6	19	8.3	29	1.22	1.15	75	75	0.3262	0	0.3262	2.33	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus douglasii	Quercus	
OAK-MOR-000039					CA-DAV-MH063	Quercus lobata Née		6/27/2012					21.1		8	29	1.24	1.19	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus lobata	Quercus	
OAK-MOR-000040				X	CA-MH074	Quercus lobata Née	CA; off US route 50; east side of green stone route, just off rt 50 to north	6/27/2012	14.5				32.8	17.5	9.9	28	1.4	1.3	75	75	1.015	0	1.015	7.25	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus lobata	Quercus	
OAK-MOR-000041					CA-DAV-MH065	Quercus garryana var. fruticosa (Engelm.) = Quercus garryana v. breweri		6/27/2012	2.55				14.8		8.4	30	1.21	1.22	75	75	0.1785	0	0.1785	1.275	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus garryana	Quercus	
OAK-MOR-000042					"ARAM s.n. ""C"""	Quercus wislizeni A. DC.	CA; 1 mile west of Lake County line in Mendocino City, on route 20, south side of road by driveway.	6/27/2012	0.678				7.1		6.2	33	0.89	0.99	75	75	0.04746	0	0.04746	0.339	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000043					CA-DAV-MH066	Quercus kelloggii Newb.		6/27/2012					11.6		5.1	30	0.9	1	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus kelloggii	Lobatae	
