"","Quercus stellata","Quercus muehlenbergii","Quercus alba","Quercus macrocarpa-1","Quercus bicolor","Quercus macrocarpa-2","Longitude","Latitude","Species","Radius"
"OAK-MOR-001438",0,0,0.007,0.1,0.068,0.825,-73.19355978,43.91667036,"Quercus macrocarpa",0.75
"OAK-MOR-001439",0,0,0.006,0.177,0.07,0.731,-73.22277708,43.95135195,"Quercus macrocarpa",0.75
"OAK-MOR-001440",0.001,0.001,0.001,0.206,0.008,0.733,-73.14804412,44.0059347,"Quercus macrocarpa",0.75
"OAK-MOR-001441",0,0,0.006,0.165,0.021,0.806,-73.24321082,44.23432869,"Quercus macrocarpa",0.75
"OAK-MOR-001443",0,0,0,0.086,0.045,0.866,-73.24312172,44.23393562,"Quercus macrocarpa",0.75
"OAK-MOR-001444",0,0,0,0.062,0.063,0.876,-73.24972666,44.26433679,"Quercus macrocarpa",0.75
"OAK-MOR-001447",0,0,0,0.054,0.048,0.898,-73.1635581,44.58023031,"Quercus macrocarpa",0.75
"OAK-MOR-001448",0,0,0,0.124,0.017,0.857,-73.16553933,44.57924988,"Quercus macrocarpa",0.75
"OAK-MOR-001449",0,0,0,0.2,0.013,0.787,-73.34489361,44.66752414,"Quercus macrocarpa",0.75
"OAK-MOR-001450",0,0,0,0.178,0.015,0.807,-73.32585035,44.7174297,"Quercus macrocarpa",0.75
"OAK-MOR-001451",0,0,0,0.1,0.181,0.718,-73.31217972,44.74730548,"Quercus macrocarpa",0.75
"OAK-MOR-001452",0,0,0,0.68,0,0.319,-90.80547,38.46385,"Quercus macrocarpa",0.75
"OAK-MOR-001453",0,0,0,0.692,0,0.308,-90.81498,38.46187,"Quercus macrocarpa",0.75
"OAK-MOR-001454",0,0,0,0.708,0,0.291,-90.8094,38.46608,"Quercus macrocarpa",0.75
"OAK-MOR-001461",0,0,0,0.65,0,0.35,-91.08194,38.22441,"Quercus macrocarpa",0.75
"OAK-MOR-001469",0,0,0,0.513,0,0.486,-94.80568,38.98048,"Quercus macrocarpa",0.75
"OAK-MOR-001471",0,0,0,0.493,0,0.505,-94.81036,38.98141,"Quercus macrocarpa",0.75
"OAK-MOR-001473",0,0.009,0,0.592,0.015,0.384,-95.18855,38.80951,"Quercus macrocarpa",0.75
"OAK-MOR-001477",0,0,0,0.567,0,0.43,-95.19508,38.80803,"Quercus macrocarpa",0.75
"OAK-MOR-001478",0,0.009,0,0.592,0,0.397,-96.60616,39.10691,"Quercus macrocarpa",0.75
"OAK-MOR-001485",0,0,0,0.119,0.103,0.778,-83.92385,43.84822,"Quercus macrocarpa",0.75
"OAK-MOR-001486",0,0,0.035,0.04,0.136,0.788,-83.92524,43.85714,"Quercus macrocarpa",0.75
